Peak#,X,Y,Phase
1245,42,858,Tpp
1246,442,630,Tpp
1247,143,754,Tpp
1248,198,148,Tpp
1249,1019,695,Tpp
1250,969,259,Tpp
1251,740,53,Tpp
1252,425,500,Tpp
1253,84,218,Tpp
1254,763,698,Tpp
1255,507,309,Tpp
1256,110,379,Tpp
1257,142,273,Tpp
1258,103,21,Tpp
1259,482,926,Tpp
1260,397,916,Tpp
1261,938,938,Tpp
1262,664,445,Tpp
1263,635,675,Tpp
1264,301,699,Tpp
1265,175,538,Tpp
1266,827,305,Tpp
1267,469,333,Tpp
1268,944,673,Tpp
1269,54,616,Tpp
1270,405,216,Tpp
1271,90,811,Tpp
1272,803,189,Tpp
1273,1019,927,Tpp
1274,323,525,Tpp
1275,783,938,Tpp
1276,308,112,Tpp
1277,297,709,Tpp
1278,568,858,Tpp
1279,57,972,Tpp
1280,854,673,Tpp
1281,876,834,Tpp
1282,938,338,Tpp
1283,252,309,Tpp
1284,940,60,Tpp
1285,213,846,Tpp
1286,381,445,Tpp
1287,644,480,Tpp
1288,477,708,Tpp
1289,349,524,Tpp
1290,751,973,Tpp
1291,360,388,Tpp
1292,578,502,Tpp
1293,77,321,Tpp
1294,649,377,Tpp
1295,360,204,Tpp
1296,790,513,Tpp
1297,900,454,Tpp
1298,410,390,Tpp
1299,565,319,Tpp
1300,375,835,Tpp
1301,197,767,Tpp
1302,123,424,Tpp
1303,168,836,Tpp
1304,810,431,Tpp
1305,418,124,Tpp
1306,406,951,Tpp
1307,963,290,Tpp
1308,264,148,Tpp
1309,93,662,Tpp
1310,259,457,Tpp
1311,941,16,Tpp
1312,297,434,Tpp
1313,263,11,Tpp
1314,110,332,Tpp
1315,317,515,Tpp
1316,116,273,Tpp
1317,187,538,Tpp
1318,425,616,Tpp
1319,779,421,Tpp
1320,341,241,Tpp
1321,342,653,Tpp
1322,726,76,Tpp
1323,639,615,Tpp
1324,910,658,Tpp
1325,332,983,Tpp
1326,113,983,Tpp
1327,449,88,Tpp
1328,96,333,Tpp
1329,777,305,Tpp
1330,725,995,Tpp
1331,508,285,Tpp
1332,834,1004,Tpp
1333,778,489,Tpp
1334,895,820,Tpp
1335,197,1018,Tpp
1336,270,547,Tpp
1337,40,638,Tpp
1338,149,605,Tpp
1339,527,202,Tpp
1340,290,607,Tpp
1341,734,17,Tpp
1342,211,721,Tpp
1343,62,468,Tpp
1344,790,168,Tpp
1345,944,718,Tpp
1346,1014,751,Tpp
1347,490,274,Tpp
1348,276,607,Tpp
1349,476,478,Tpp
1350,811,810,Tpp
1351,990,244,Tpp
1352,887,291,Tpp
1353,553,708,Tpp
1354,769,893,Tpp
1355,854,281,Tpp
1356,528,157,Tpp
1357,707,109,Tpp
1358,486,434,Tpp
1359,761,882,Tpp
1360,804,144,Tpp
1361,647,605,Tpp
1362,618,365,Tpp
1363,186,125,Tpp
1364,431,124,Tpp
1365,499,639,Tpp
1366,707,524,Tpp
1367,283,135,Tpp
1368,347,894,Tpp
1369,435,868,Tpp
1370,867,906,Tpp
1371,906,421,Tpp
1372,599,100,Tpp
1373,500,87,Tpp
1374,642,894,Tpp
1375,700,400,Tpp
1376,682,248,Tpp
1377,374,708,Tpp
1378,39,777,Tpp
1379,103,205,Tpp
1380,969,995,Tpp
1381,207,663,Tpp
1382,133,884,Tpp
1383,418,995,Tpp
1384,746,293,Tpp
1385,213,700,Tpp
1386,412,227,Tpp
1387,514,456,Tpp
1388,327,973,Tpp
1389,622,561,Tpp
1390,694,294,Tpp
1391,817,844,Tpp
1392,721,177,Tpp
1393,829,421,Tpp
1394,752,213,Tpp
1395,631,179,Tpp
1396,557,605,Tpp
1397,879,697,Tpp
1398,984,50,Tpp
1399,276,55,Tpp
1400,348,456,Tpp
1401,59,674,Tpp
1402,13,961,Tpp
1403,482,146,Tpp
1404,865,721,Tpp
1405,571,882,Tpp
1406,33,379,Tpp
1407,429,9,Tpp
1408,559,447,Tpp
1409,39,938,Tpp
1410,624,742,Tpp
1411,71,288,Tpp
1412,1002,152,Tpp
1413,39,390,Tpp
1414,30,479,Tpp
1415,739,283,Tpp
1416,862,616,Tpp
1417,64,367,Tpp
1418,579,982,Tpp
1419,468,628,Tpp
1420,989,614,Tpp
1421,970,142,Tpp
1422,960,844,Tpp
1423,663,168,Tpp
1424,263,493,Tpp
1425,862,431,Tpp
1426,942,649,Tpp
1427,648,697,Tpp
1428,359,917,Tpp
1429,578,592,Tpp
1430,72,698,Tpp
1431,855,328,Tpp
1432,835,960,Tpp
1433,412,111,Tpp
1434,842,98,Tpp
1435,477,343,Tpp
1436,986,844,Tpp
1437,732,753,Tpp
1438,251,561,Tpp
1439,450,42,Tpp
1440,995,951,Tpp
1441,160,171,Tpp
1442,393,101,Tpp
1443,827,673,Tpp
1444,429,605,Tpp
1445,840,742,Tpp
1446,176,869,Tpp
1447,628,616,Tpp
1448,551,639,Tpp
1449,166,411,Tpp
1450,696,131,Tpp
1451,277,630,Tpp
1452,571,582,Tpp
1453,617,457,Tpp
1454,85,653,Tpp
1455,931,718,Tpp
1456,955,950,Tpp
1457,85,537,Tpp
1458,380,424,Tpp
1459,342,148,Tpp
1460,802,626,Tpp
1461,289,55,Tpp
1462,502,64,Tpp
1463,270,733,Tpp
1464,130,412,Tpp
1465,43,882,Tpp
1466,271,664,Tpp
1467,941,82,Tpp
1468,809,893,Tpp
1469,787,650,Tpp
1470,593,87,Tpp
1471,906,189,Tpp
1472,334,43,Tpp
1473,687,330,Tpp
1474,828,697,Tpp
1475,773,40,Tpp
1476,347,42,Tpp
1477,567,708,Tpp
1478,360,156,Tpp
1479,417,951,Tpp
1480,302,286,Tpp
1481,216,894,Tpp
1482,983,119,Tpp
1483,544,628,Tpp
1484,867,97,Tpp
1485,284,594,Tpp
1486,422,776,Tpp
1487,205,65,Tpp
1488,854,351,Tpp
1489,112,606,Tpp
1490,854,258,Tpp
1491,232,135,Tpp
1492,763,928,Tpp
1493,41,811,Tpp
1494,701,820,Tpp
1495,862,39,Tpp
1496,503,111,Tpp
1497,856,74,Tpp
1498,135,80,Tpp
1499,156,274,Tpp
1500,975,383,Tpp
1501,39,345,Tpp
1502,223,929,Tpp
1503,58,333,Tpp
1504,406,124,Tpp
1505,528,111,Tpp
1506,354,468,Tpp
1507,48,797,Tpp
1508,385,663,Tpp
1509,297,814,Tpp
1510,447,797,Tpp
1511,604,915,Tpp
1512,130,365,Tpp
1513,452,810,Tpp
1514,129,319,Tpp
1515,662,330,Tpp
1516,198,11,Tpp
1517,688,354,Tpp
1518,451,250,Tpp
1519,867,213,Tpp
1520,904,882,Tpp
1521,296,548,Tpp
1522,943,558,Tpp
1523,207,273,Tpp
1524,366,32,Tpp
1525,559,309,Tpp
1526,60,652,Tpp
1527,584,513,Tpp
1528,379,743,Tpp
1529,367,1018,Tpp
1530,567,42,Tpp
1531,418,468,Tpp
1532,362,501,Tpp
1533,996,233,Tpp
1534,225,172,Tpp
1535,676,9,Tpp
1536,969,280,Tpp
1537,771,730,Tpp
1538,895,29,Tpp
1539,476,389,Tpp
1540,314,929,Tpp
1541,631,341,Tpp
1542,430,55,Tpp
1543,327,743,Tpp
1544,489,367,Tpp
1545,772,858,Tpp
1546,996,211,Tpp
1547,431,927,Tpp
1548,970,1017,Tpp
1549,430,744,Tpp
1550,837,245,Tpp
1551,995,488,Tpp
1552,604,318,Tpp
1553,181,593,Tpp
1554,138,1005,Tpp
1555,865,765,Tpp
1556,28,858,Tpp
1557,226,822,Tpp
1558,649,882,Tpp
1559,538,868,Tpp
1560,643,155,Tpp
1561,1021,718,Tpp
1562,834,729,Tpp
1563,91,160,Tpp
1564,994,582,Tpp
1565,834,315,Tpp
1566,54,275,Tpp
1567,501,203,Tpp
1568,173,125,Tpp
1569,976,960,Tpp
1570,405,287,Tpp
1571,585,697,Tpp
1572,868,627,Tpp
1573,246,479,Tpp
1574,39,205,Tpp
1575,854,513,Tpp
1576,848,476,Tpp
1577,971,27,Tpp
1578,387,412,Tpp
1579,828,905,Tpp
1580,571,536,Tpp
1581,976,244,Tpp
1582,380,469,Tpp
1583,721,40,Tpp
1584,875,454,Tpp
1585,194,617,Tpp
1586,31,787,Tpp
1587,895,51,Tpp
1588,734,155,Tpp
1589,494,77,Tpp
1590,636,308,Tpp
1591,871,776,Tpp
1592,247,859,Tpp
1593,956,673,Tpp
1594,906,166,Tpp
1595,349,250,Tpp
1596,34,605,Tpp
1597,545,169,Tpp
1598,554,201,Tpp
1599,17,432,Tpp
1600,334,158,Tpp
1601,824,500,Tpp
1602,918,673,Tpp
1603,868,605,Tpp
1604,309,663,Tpp
1605,97,720,Tpp
1606,988,544,Tpp
1607,430,446,Tpp
1608,169,571,Tpp
1609,797,409,Tpp
1610,1008,28,Tpp
1611,224,745,Tpp
1612,16,456,Tpp
1613,302,492,Tpp
1614,546,721,Tpp
1615,623,447,Tpp
1616,103,183,Tpp
1617,314,721,Tpp
1618,789,742,Tpp
1619,605,109,Tpp
1620,198,102,Tpp
1621,308,388,Tpp
1622,696,858,Tpp
1623,219,227,Tpp
1624,816,490,Tpp
1625,489,111,Tpp
1626,315,124,Tpp
1627,84,241,Tpp
1628,514,961,Tpp
1629,902,787,Tpp
1630,245,181,Tpp
1631,882,29,Tpp
1632,983,741,Tpp
1633,245,411,Tpp
1634,322,664,Tpp
1635,689,424,Tpp
1636,110,149,Tpp
1637,572,333,Tpp
1638,20,974,Tpp
1639,834,590,Tpp
1640,737,674,Tpp
1641,636,377,Tpp
1642,278,584,Tpp
1643,594,834,Tpp
1644,979,858,Tpp
1645,263,722,Tpp
1646,867,281,Tpp
1647,926,130,Tpp
1648,745,960,Tpp
1649,661,513,Tpp
1650,310,548,Tpp
1651,393,55,Tpp
1652,994,304,Tpp
1653,698,652,Tpp
1654,628,960,Tpp
1655,803,743,Tpp
1656,59,379,Tpp
1657,412,412,Tpp
1658,828,743,Tpp
1659,470,721,Tpp
1660,675,191,Tpp
1661,284,571,Tpp
1662,1013,267,Tpp
1663,652,798,Tpp
1664,597,605,Tpp
1665,182,640,Tpp
1666,296,939,Tpp
1667,571,605,Tpp
1668,482,357,Tpp
1669,109,218,Tpp
1670,323,571,Tpp
1671,841,604,Tpp
1672,706,270,Tpp
1673,399,135,Tpp
1674,355,491,Tpp
1675,507,379,Tpp
1676,663,121,Tpp
1677,501,343,Tpp
1678,855,189,Tpp
1679,419,100,Tpp
1680,655,501,Tpp
1681,917,374,Tpp
1682,875,408,Tpp
1683,110,721,Tpp
1684,367,491,Tpp
1685,208,594,Tpp
1686,397,367,Tpp
1687,636,284,Tpp
1688,854,489,Tpp
1689,547,9,Tpp
1690,830,257,Tpp
1691,612,821,Tpp
1692,997,119,Tpp
1693,617,387,Tpp
1694,498,798,Tpp
1695,760,338,Tpp
1696,520,123,Tpp
1697,373,457,Tpp
1698,834,662,Tpp
1699,328,309,Tpp
1700,362,812,Tpp
1701,889,61,Tpp
1702,238,78,Tpp
1703,951,245,Tpp
1704,436,389,Tpp
1705,971,49,Tpp
1706,797,223,Tpp
1707,391,907,Tpp
1708,257,709,Tpp
1709,724,719,Tpp
1710,527,569,Tpp
1711,182,547,Tpp
1712,224,606,Tpp
1713,685,698,Tpp
1714,824,857,Tpp
1715,754,421,Tpp
1716,830,845,Tpp
1717,803,236,Tpp
1718,213,675,Tpp
1719,855,581,Tpp
1720,816,258,Tpp
1721,83,172,Tpp
1722,462,390,Tpp
1723,214,515,Tpp
1724,302,402,Tpp
1725,238,147,Tpp
1726,990,153,Tpp
1727,650,76,Tpp
1728,274,883,Tpp
1729,353,55,Tpp
1730,609,284,Tpp
1731,675,903,Tpp
1732,724,627,Tpp
1733,257,66,Tpp
1734,74,869,Tpp
1735,776,720,Tpp
1736,207,859,Tpp
1737,533,192,Tpp
1738,778,144,Tpp
1739,57,479,Tpp
1740,269,136,Tpp
1741,815,167,Tpp
1742,695,18,Tpp
1743,863,107,Tpp
1744,586,33,Tpp
1745,618,730,Tpp
1746,476,937,Tpp
1747,831,98,Tpp
1748,451,157,Tpp
1749,402,834,Tpp
1750,726,167,Tpp
1751,686,675,Tpp
1752,988,960,Tpp
1753,738,98,Tpp
1754,458,994,Tpp
1755,866,929,Tpp
1756,507,423,Tpp
1757,159,767,Tpp
1758,212,309,Tpp
1759,917,926,Tpp
1760,32,996,Tpp
1761,58,1018,Tpp
1762,976,728,Tpp
1763,836,569,Tpp
1764,962,729,Tpp
1765,696,41,Tpp
1766,387,731,Tpp
1767,731,893,Tpp
1768,53,228,Tpp
1769,489,685,Tpp
1770,742,868,Tpp
1771,96,149,Tpp
1772,943,604,Tpp
1773,111,675,Tpp
1774,323,204,Tpp
1775,829,212,Tpp
1776,565,547,Tpp
1777,378,930,Tpp
1778,118,592,Tpp
1779,726,237,Tpp
1780,760,62,Tpp
1781,334,616,Tpp
1782,463,156,Tpp
1783,876,85,Tpp
1784,468,356,Tpp
1785,771,316,Tpp
1786,205,158,Tpp
1787,373,65,Tpp
1788,488,662,Tpp
1789,468,309,Tpp
1790,57,907,Tpp
1791,425,111,Tpp
1792,83,1018,Tpp
1793,250,607,Tpp
1794,437,707,Tpp
1795,455,882,Tpp
1796,579,479,Tpp
1797,831,868,Tpp
1798,803,950,Tpp
1799,874,361,Tpp
1800,714,353,Tpp
1801,837,430,Tpp
1802,650,215,Tpp
1803,583,650,Tpp
1804,169,616,Tpp
1805,349,435,Tpp
1806,246,251,Tpp
1807,993,649,Tpp
1808,623,720,Tpp
1809,515,546,Tpp
1810,495,169,Tpp
1811,957,972,Tpp
1812,299,994,Tpp
1813,842,398,Tpp
1814,282,938,Tpp
1815,405,309,Tpp
1816,738,906,Tpp
1817,264,608,Tpp
1818,554,64,Tpp
1819,417,402,Tpp
1820,444,995,Tpp
1821,410,616,Tpp
1822,258,789,Tpp
1823,809,707,Tpp
1824,15,299,Tpp
1825,835,361,Tpp
1826,699,605,Tpp
1827,132,591,Tpp
1828,28,708,Tpp
1829,970,211,Tpp
1830,93,884,Tpp
1831,78,275,Tpp
1832,46,973,Tpp
1833,598,77,Tpp
1834,747,40,Tpp
1835,347,939,Tpp
1836,552,616,Tpp
1837,919,951,Tpp
1838,592,684,Tpp
1839,728,445,Tpp
1840,144,938,None
1841,767,421,Tpp
1842,598,284,Tpp
1843,546,261,Tpp
1844,192,939,None
1845,534,216,Tpp
1846,425,134,Tpp
1847,969,489,Tpp
1848,156,616,Tpp
1849,255,982,Tpp
1850,843,52,Tpp
1851,776,951,Tpp
1852,335,320,Tpp
1853,233,366,Tpp
1854,1019,372,Tpp
1855,994,557,Tpp
1856,516,178,Tpp
1857,322,227,Tpp
1858,585,421,Tpp
1859,126,1005,Tpp
1860,1009,188,Tpp
1861,465,180,Tpp
1862,99,583,Tpp
1863,443,32,Tpp
1864,354,514,Tpp
1865,109,401,Tpp
1866,630,753,Tpp
1867,892,972,Tpp
1868,893,673,Tpp
1869,1002,198,Tpp
1870,19,929,Tpp
1871,930,512,Tpp
1872,547,697,Tpp
1873,968,858,Tpp
1874,533,333,Tpp
1875,802,994,Tpp
1876,684,859,Tpp
1877,251,332,Tpp
1878,599,191,Tpp
1879,1007,673,Tpp
1880,757,960,Tpp
1881,513,639,Tpp
1882,713,76,Tpp
1883,642,295,Tpp
1884,631,18,Tpp
1885,978,833,Tpp
1886,847,384,Tpp
1887,700,537,Tpp
1888,815,559,Tpp
1889,661,98,Tpp
1890,251,285,Tpp
1891,713,192,Tpp
1892,989,383,Tpp
1893,623,995,Tpp
1894,392,674,Tpp
1895,893,97,Tpp
1896,283,960,Tpp
1897,153,776,Tpp
1898,642,752,Tpp
1899,1001,499,Tpp
1900,284,203,Tpp
1901,19,378,Tpp
1902,930,304,Tpp
1903,308,66,Tpp
1904,533,146,Tpp
1905,135,308,Tpp
1906,596,536,Tpp
1907,368,424,Tpp
1908,644,271,Tpp
1909,302,240,Tpp
1910,892,327,Tpp
1911,822,684,Tpp
1912,65,113,Tpp
1913,304,356,Tpp
1914,701,1017,Tpp
1915,811,453,Tpp
1916,294,733,Tpp
1917,649,927,Tpp
1918,456,9,Tpp
1919,622,950,Tpp
1920,803,398,Tpp
1921,803,282,Tpp
1922,469,653,Tpp
1923,405,697,Tpp
1924,180,320,Tpp
1925,168,159,Tpp
1926,207,411,Tpp
1927,341,491,Tpp
1928,1009,143,Tpp
1929,418,424,Tpp
1930,764,995,Tpp
1931,547,400,Tpp
1932,300,971,Tpp
1933,97,309,Tpp
1934,85,674,Tpp
1935,671,42,Tpp
1936,650,846,Tpp
1937,952,15,Tpp
1938,298,526,Tpp
1939,194,640,Tpp
1940,143,457,Tpp
1941,272,480,Tpp
1942,46,81,Tpp
1943,542,272,Tpp
1944,617,319,Tpp
1945,513,616,Tpp
1946,982,558,Tpp
1947,117,67,Tpp
1948,785,246,Tpp
1949,874,522,Tpp
1950,642,775,Tpp
1951,779,798,Tpp
1952,771,1005,Tpp
1953,656,480,Tpp
1954,432,216,Tpp
1955,162,606,Tpp
1956,78,412,Tpp
1957,541,960,Tpp
1958,213,333,Tpp
1959,131,457,Tpp
1960,991,15,Tpp
1961,180,113,Tpp
1962,982,717,Tpp
1963,610,766,Tpp
1964,293,777,Tpp
1965,915,882,Tpp
1966,53,91,Tpp
1967,353,607,Tpp
1968,143,388,Tpp
1969,764,558,Tpp
1970,675,331,Tpp
1971,4,432,Tpp
1972,823,408,Tpp
1973,720,386,Tpp
1974,162,583,Tpp
1975,893,259,Tpp
1976,398,1005,Tpp
1977,24,346,Tpp
1978,315,1017,Tpp
1979,45,287,Tpp
1980,554,156,Tpp
1981,444,721,Tpp
1982,1007,373,Tpp
1983,463,111,Tpp
1984,669,961,Tpp
1985,46,126,Tpp
1986,137,447,Tpp
1987,174,424,Tpp
1988,651,144,Tpp
1989,154,44,Tpp
1990,734,341,Tpp
1991,304,845,Tpp
1992,748,788,Tpp
1993,694,63,Tpp
1994,611,447,Tpp
1995,905,144,Tpp
1996,187,847,Tpp
1997,63,321,Tpp
1998,534,950,Tpp
1999,662,355,Tpp
2000,155,182,Tpp
2001,175,492,Tpp
2002,757,1005,Tpp
2003,904,397,Tpp
2004,57,884,Tpp
2005,789,720,Tpp
2006,315,447,Tpp
2007,835,752,Tpp
2008,591,295,Tpp
2009,190,1005,Tpp
2010,353,951,Tpp
2011,97,513,Tpp
2012,147,971,Tpp
2013,367,468,Tpp
2014,989,660,Tpp
2015,802,168,Tpp
2016,405,147,Tpp
2017,28,113,Tpp
2018,444,101,Tpp
2019,931,328,Tpp
2020,198,379,Tpp
2021,675,54,Tpp
2022,751,950,Tpp
2023,533,582,Tpp
2024,269,982,Tpp
2025,398,88,Tpp
2026,405,721,Tpp
2027,611,54,Tpp
2028,103,569,Tpp
2029,278,845,Tpp
2030,709,154,Tpp
2031,956,349,Tpp
2032,495,216,Tpp
2033,233,503,Tpp
2034,173,103,Tpp
2035,299,858,Tpp
2036,122,332,Tpp
2037,995,673,Tpp
2038,106,638,Tpp
2039,789,698,Tpp
2040,443,78,Tpp
2041,585,972,Tpp
2042,425,297,Tpp
2043,751,698,Tpp
2044,437,500,Tpp
2045,803,604,Tpp
2046,122,240,Tpp
2047,893,604,Tpp
2048,681,708,Tpp
2049,708,41,Tpp
2050,384,983,Tpp
2051,993,465,Tpp
2052,67,708,Tpp
2053,284,916,Tpp
2054,670,810,Tpp
2055,700,951,Tpp
2056,984,97,Tpp
2057,363,181,Tpp
2058,889,16,Tpp
2059,931,443,Tpp
2060,430,652,Tpp
2061,882,8,Tpp
2062,934,52,Tpp
2063,917,626,Tpp
2064,582,605,Tpp
2065,636,99,Tpp
2066,682,178,Tpp
2067,723,884,Tpp
2068,323,250,Tpp
2069,628,662,Tpp
2070,348,546,Tpp
2071,1002,809,Tpp
2072,802,720,Tpp
2073,418,193,Tpp
2074,623,535,Tpp
2075,438,134,Tpp
2076,15,251,Tpp
2077,950,338,Tpp
2078,713,122,Tpp
2079,996,95,Tpp
2080,842,236,Tpp
2081,584,537,Tpp
2082,362,227,Tpp
2083,469,32,Tpp
2084,1023,74,Tpp
2085,1002,637,Tpp
2086,290,653,Tpp
2087,334,111,Tpp
2088,638,798,Tpp
2089,907,7,Tpp
2090,793,75,Tpp
2091,213,629,Tpp
2092,662,54,Tpp
2093,735,883,Tpp
2094,136,745,Tpp
2095,520,951,Tpp
2096,341,537,Tpp
2097,230,1005,Tpp
2098,411,435,Tpp
2099,855,649,Tpp
2100,444,217,Tpp
2101,829,145,Tpp
2102,335,547,Tpp
2103,771,108,Tpp
2104,888,106,Tpp
2105,956,742,Tpp
2106,765,328,Tpp
2107,41,592,Tpp
2108,230,777,Tpp
2109,258,43,Tpp
2110,449,501,Tpp
2111,39,1006,Tpp
2112,217,982,Tpp
2113,766,821,Tpp
2114,355,125,Tpp
2115,1014,383,Tpp
2116,796,730,Tpp
2117,552,320,Tpp
2118,929,649,Tpp
2119,728,1018,Tpp
2120,587,845,Tpp
2121,488,523,Tpp
2122,495,995,Tpp
2123,7,929,Tpp
2124,868,351,Tpp
2125,579,662,Tpp
2126,828,375,Tpp
2127,251,676,Tpp
2128,513,202,Tpp
2129,379,56,Tpp
2130,983,73,Tpp
2131,925,683,Tpp
2132,886,938,Tpp
2133,8,720,Tpp
2134,752,400,Tpp
2135,469,240,Tpp
2136,579,202,Tpp
2137,624,377,Tpp
2138,703,869,Tpp
2139,579,295,Tpp
2140,276,148,Tpp
2141,879,304,Tpp
2142,353,286,Tpp
2143,762,650,Tpp
2144,359,1006,Tpp
2145,539,592,Tpp
2146,720,63,Tpp
2147,206,44,Tpp
2148,738,144,Tpp
2149,425,707,Tpp
2150,315,630,Tpp
2151,540,18,Tpp
2152,844,75,Tpp
2153,583,559,Tpp
2154,277,470,Tpp
2155,213,493,Tpp
2156,262,951,Tpp
2157,180,412,Tpp
2158,394,822,Tpp
2159,41,708,Tpp
2160,769,707,Tpp
2161,285,502,Tpp
2162,366,264,Tpp
2163,352,930,Tpp
2164,387,455,Tpp
2165,244,273,Tpp
2166,610,100,Tpp
2167,930,582,Tpp
2168,288,950,Tpp
2169,675,742,Tpp
2170,17,810,Tpp
2171,785,811,Tpp
2172,834,916,Tpp
2173,367,607,Tpp
2174,456,333,Tpp
2175,624,331,Tpp
2176,46,310,Tpp
2177,117,389,Tpp
2178,810,338,Tpp
2179,706,962,Tpp
2180,514,110,Tpp
2181,887,961,Tpp
2182,644,133,Tpp
2183,431,193,Tpp
2184,463,43,Tpp
2185,842,352,Tpp
2186,91,755,Tpp
2187,127,982,Tpp
2188,46,766,Tpp
2189,643,411,Tpp
2190,422,845,Tpp
2191,246,526,Tpp
2192,597,447,Tpp
2193,622,261,Tpp
2194,778,329,Tpp
2195,130,524,Tpp
2196,233,547,Tpp
2197,772,200,Tpp
2198,169,205,Tpp
2199,143,524,Tpp
2200,77,389,Tpp
2201,766,52,Tpp
2202,444,169,Tpp
2203,597,673,Tpp
2204,545,582,Tpp
2205,649,285,Tpp
2206,553,296,Tpp
2207,373,731,Tpp
2208,253,825,Tpp
2209,196,929,Tpp
2210,456,55,Tpp
2211,694,388,Tpp
2212,842,845,Tpp
2213,502,524,Tpp
2214,15,639,Tpp
2215,553,271,Tpp
2216,692,638,Tpp
2217,659,605,Tpp
2218,693,685,Tpp
2219,737,651,Tpp
2220,226,493,Tpp
2221,540,203,Tpp
2222,803,120,Tpp
2223,85,582,Tpp
2224,121,149,Tpp
2225,89,776,Tpp
2226,975,290,Tpp
2227,559,1017,Tpp
2228,110,242,Tpp
2229,456,698,Tpp
2230,571,469,Tpp
2231,677,469,Tpp
2232,610,906,Tpp
2233,945,350,Tpp
2234,586,215,Tpp
2235,654,615,Tpp
2236,139,982,Tpp
2237,670,87,Tpp
2238,477,180,Tpp
2239,989,475,Tpp
2240,263,125,Tpp
2241,277,193,Tpp
2242,745,63,Tpp
2243,374,343,Tpp
2244,908,73,Tpp
2245,765,8,Tpp
2246,448,639,Tpp
2247,194,204,Tpp
2248,1016,14,Tpp
2249,1001,684,Tpp
2250,426,546,Tpp
2251,463,569,Tpp
2252,366,77,Tpp
2253,835,981,Tpp
2254,893,906,Tpp
2255,203,938,None
2256,374,390,Tpp
2257,694,108,Tpp
2258,398,640,Tpp
2259,636,215,Tpp
2260,937,660,Tpp
2261,387,42,Tpp
2262,258,640,Tpp
2263,237,722,Tpp
2264,391,882,Tpp
2265,322,65,Tpp
2266,117,251,Tpp
2267,931,212,Tpp
2268,541,42,Tpp
2269,303,446,Tpp
2270,134,126,Tpp
2271,58,311,Tpp
2272,598,378,Tpp
2273,617,341,Tpp
2274,296,412,Tpp
2275,156,502,Tpp
2276,526,639,Tpp
2277,874,223,Tpp
2278,494,744,Tpp
2279,187,629,Tpp
2280,454,535,Tpp
2281,118,479,Tpp
2282,169,251,Tpp
2283,707,364,Tpp
2284,303,468,Tpp
2285,123,401,Tpp
2286,296,180,Tpp
2287,605,87,Tpp
2288,502,19,Tpp
2289,457,971,Tpp
2290,660,742,Tpp
2291,585,54,Tpp
2292,59,744,Tpp
2293,735,787,Tpp
2294,122,698,Tpp
2295,541,364,Tpp
2296,284,250,Tpp
2297,64,916,None
2298,559,904,Tpp
2299,118,662,Tpp
2300,394,468,Tpp
2301,501,662,Tpp
2302,707,294,Tpp
2303,507,951,Tpp
2304,360,296,Tpp
2305,797,545,Tpp
2306,663,400,Tpp
2307,80,685,Tpp
2308,905,327,Tpp
2309,244,112,Tpp
2310,45,1019,Tpp
2311,142,228,Tpp
2312,303,630,Tpp
2313,131,501,Tpp
2314,700,284,Tpp
2315,623,401,Tpp
2316,1016,809,Tpp
2317,495,240,Tpp
2318,713,53,Tpp
2319,412,639,Tpp
2320,144,995,Tpp
2321,117,754,Tpp
2322,599,845,Tpp
2323,168,638,Tpp
2324,580,387,Tpp
2325,953,38,Tpp
2326,244,227,Tpp
2327,280,982,Tpp
2328,758,545,Tpp
2329,277,561,Tpp
2330,101,1005,Tpp
2331,810,409,Tpp
2332,768,868,Tpp
2333,328,606,Tpp
2334,238,263,Tpp
2335,934,74,Tpp
2336,361,412,Tpp
2337,605,388,Tpp
2338,163,424,Tpp
2339,258,504,Tpp
2340,803,535,Tpp
2341,815,697,Tpp
2342,714,537,Tpp
2343,316,148,Tpp
2344,400,250,Tpp
2345,77,297,Tpp
2346,616,247,Tpp
2347,45,333,Tpp
2348,380,124,Tpp
2349,468,766,Tpp
2350,829,1016,Tpp
2351,104,228,Tpp
2352,206,182,Tpp
2353,835,614,Tpp
2354,662,719,Tpp
2355,737,605,Tpp
2356,694,811,Tpp
2357,180,955,None
2358,699,719,Tpp
2359,33,172,Tpp
2360,26,389,Tpp
2361,812,62,Tpp
2362,329,171,Tpp
2363,438,320,Tpp
2364,972,73,Tpp
2365,470,699,Tpp
2366,630,434,Tpp
2367,534,123,Tpp
2368,759,410,Tpp
2369,246,204,Tpp
2370,734,858,Tpp
2371,405,357,Tpp
2372,635,697,Tpp
2373,926,176,Tpp
2374,751,929,Tpp
2375,129,836,Tpp
2376,714,260,Tpp
2377,848,199,Tpp
2378,617,547,Tpp
2379,626,798,Tpp
2380,740,822,Tpp
2381,232,525,Tpp
2382,148,241,Tpp
2383,713,143,Tpp
2384,155,708,Tpp
2385,488,983,Tpp
2386,451,19,Tpp
2387,122,378,Tpp
2388,859,730,Tpp
2389,288,722,Tpp
2390,186,172,Tpp
2391,918,906,Tpp
2392,688,1018,Tpp
2393,521,216,Tpp
2394,321,181,Tpp
2395,187,722,Tpp
2396,811,476,Tpp
2397,392,402,Tpp
2398,424,960,Tpp
2399,391,951,Tpp
2400,694,982,Tpp
2401,399,180,Tpp
2402,296,112,Tpp
2403,585,308,Tpp
2404,694,729,Tpp
2405,535,399,Tpp
2406,480,514,Tpp
2407,276,102,Tpp
